SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BRED,YEARFOAL
2023,Y,23FTJULYYR,2023-07-11,1,1,160,160,,,,,2022-02-25,1,CH,C,,Y,,,KY,OMAHA BEACH,OMAHA BEACH,REGAL SERENADE,REGAL SERENADE,BROKEN VOW,BROKEN VOW,,,,,,,,TAYLOR MADE SALES AGENCY AGENT XXXVI,,,,NOT SOLD,,,,120000,USD,https://youtu.be/o7r8R-9eqS4,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,161,161,,,,,2022-04-01,1,GRR,C,,Y,,,KY,BOLT D'ORO,BOLT D'ORO,REINITA,REINITA,DOMINUS,DOMINUS,,,,,,,,C & S THOROUGHBREDS AGENT,,,,COLT PIKE AGENT FOR PAUL KESSEL,,,,57000,USD,,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,162,162,,,,,2022-03-22,1,DKB,C,,Y,,,KY,DAREDEVIL,DAREDEVIL,RENDITION,RENDITION,A.P. INDY,A.P. INDY,,,,,,,,ST GEORGE SALES AGENT IX,,,,NOT SOLD,,,,80000,USD,https://vimeo.com/843040497?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,163,163,,,,,2022-02-07,1,CH,F,,Y,,,KY,VEKOMA,VEKOMA,RESPECT,RESPECT,HE'S HAD ENOUGH,HE'S HAD ENOUGH,,,,,,,,STRAIGHT LINE EQUINE SALES AGENT,,,,MIACOMET BLOODSTOCK,,,,60000,USD,https://vimeo.com/843643594,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,164,164,,,,,2022-03-10,1,CH,C,,Y,,,KY,MUNNINGS,MUNNINGS,ROMAN LASSIE,ROMAN LASSIE,LIAM'S MAP,LIAM'S MAP,,,,,,,,C & S THOROUGHBREDS AGENT,,,,SYCAMORE STABLES,,,,200000,USD,,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,165,165,,,,,2022-03-22,1,B,C,,Y,,,KY,PRACTICAL JOKE,PRACTICAL JOKE,RUNNINWITHTHEWIND,RUNNINWITHTHEWIND,MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,,,,,HUNTER VALLEY FARM AGENT,,,,OUT,,,,0,USD,,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,166,166,,,,,2022-01-29,1,B,F,,Y,,,KY,UNIFIED,UNIFIED,RUPERT'S PROMISE,RUPERT'S PROMISE,CAPOTE,CAPOTE,,,,,,,,LANE'S END AGENT,,,,MAIN LINE/AVALON RACING,,,,35000,USD,https://vimeo.com/842939361/17968677b8?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,167,167,,,,,2022-04-01,1,B,C,,Y,,,KY,IMPROBABLE,IMPROBABLE,RUTH AND NEVA,RUTH AND NEVA,CHEROKEE RUN,CHEROKEE RUN,,,,,,,,INDIAN CREEK AGENT,,,,BISHOP BLOODSTOCK,,,,150000,USD,https://vimeo.com/843073042?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,168,168,,,,,2022-03-30,1,B,F,,Y,,,PA,GLOBAL CAMPAIGN,GLOBAL CAMPAIGN,RUTHERFORD RD,RUTHERFORD RD,FIRST SAMURAI,FIRST SAMURAI,,,,,,,,WARRENDALE SALES AGENT III,,,,OUT,,,,0,USD,,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,169,169,,,,,2022-03-05,1,DKB,C,,Y,,,KY,MUCHO MACHO MAN,MUCHO MACHO MAN,SAHARA BREEZE,SAHARA BREEZE,MORE THAN READY,MORE THAN READY,,,,,,,,ST GEORGE SALES AGENT IV,,,,OUT,,,,0,USD,,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,170,170,,,,,2022-02-05,1,B,F,,Y,,,KY,MACLEAN'S MUSIC,MACLEAN'S MUSIC,SALAD MOOD,SALAD MOOD,MALIBU MOON,MALIBU MOON,,,,,,,,PARAMOUNT SALES AGENT XII,,,,KENNETH MCPEEK AGENT,,,,100000,USD,https://vimeo.com/841845297?share=copy,,,TB,2022
2023,Y,23FTJULYYR,2023-07-11,1,1,171,171,,,,,2022-02-01,1,B,C,,Y,,,KY,COMPLEXITY,COMPLEXITY,SANDSARITA,SANDSARITA,STREET BOSS,STREET BOSS,,,,,,,,FOUR STAR SALES AGENT,,,,NOT SOLD,,,,120000,USD,https://vimeo.com/843636593,,,TB,2022
