SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATE SALE,BREED,YEARFOAL
2023,Y,23FTOCTYR,2023-10-26,1,4,1310,1310,,,2022-03-23,1,B,C,,Y,,,NY,GUN RUNNER,GUN RUNNER,SOLAR SURGE,SOLAR SURGE,BERNARDINI,BERNARDINI,,,,,,,SEQUEL NEW YORK AGENT FOR CHESTER & MARY BROMAN,,,,NOVA THOROUGHBREDS,,,,100000,,https://vimeo.com/876236002,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1311,1311,,,2022-05-05,1,B,C,,Y,,,KY,CURLIN,CURLIN,SOLERINA,SOLERINA,POWERSCOURT (GB),POWERSCOURT (GB),,,,,,,HILL 'N' DALE AT XALAPA AGENT,,,,CARL MCENTEE AGENT,,,,19000,,https://vimeo.com/876167542,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1312,1312,,,2022-04-13,1,CH,C,,Y,,,NY,SPEIGHTSTER,SPEIGHTSTER,SOLO SURVIVOR,SOLO SURVIVOR,PLEASANT TAP,PLEASANT TAP,,,,,,,C & S THOROUGHBREDS AGENT,,,,FAST HORSES,,,,25000,,https://vimeo.com/873949841,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1313,1313,,,2022-04-11,1,B,F,,Y,,,ON,COMPETITIVE EDGE,COMPETITIVE EDGE,SONG OF MELODY,SONG OF MELODY,FLAT OUT,FLAT OUT,,,,,,,BUCKLAND SALES (ZACH MADDEN) AGENT XXXVI,,,,BIG EASY RACING & SALES,,,,2000,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1314,1314,,,2022-04-19,1,B,C,,Y,,,KY,MAXIMUS MISCHIEF,MAXIMUS MISCHIEF,SOUND OF THUNDER,SOUND OF THUNDER,STEPHEN GOT EVEN,STEPHEN GOT EVEN,,,,,,,VINERY SALES AGENT XVI,,,,GARY L WILLIAMS JR,,,,10000,,https://vimeo.com/874806633?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1315,1315,,,2022-01-17,1,CH,F,,Y,,,KY,ARMY MULE,ARMY MULE,SOUTH COAST,SOUTH COAST,WAR FRONT,WAR FRONT,,,,,,,SUMMERFIELD (FRANCIS & BARBARA VANLANGENDONCK) AGENT,,,,OUT,,,,0,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1316,1316,,,2022-04-02,1,DKB,C,,Y,,,KY,FLATTER,FLATTER,SOUTHERN TRUTH,SOUTHERN TRUTH,YES IT'S TRUE,YES IT'S TRUE,,,,,,,FOUR STAR SALES AGENT,,,,JASON HALL,,,,50000,,https://vimeo.com/874513101?share=copy,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1317,1317,,,2022-04-09,1,DKB,F,,Y,,,KY,SUMMER FRONT,SUMMER FRONT,SOUTH OF THE SHORE,SOUTH OF THE SHORE,UNION RAGS,UNION RAGS,,,,,,,AIRDRIE STUD RAISED & OFFERED,,,,BREANDAN DRAPER AGENT FOR SPAN INVESTMENT,,,,20000,,https://vimeo.com/873881741,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1318,1318,,,2022-02-23,1,DKB,F,,Y,,,KY,MACLEAN'S MUSIC,MACLEAN'S MUSIC,SPAC,SPAC,GIO PONTI,GIO PONTI,,,,,,,SHELTOWEE SALES AGENT,,,,NOT SOLD,,,,27000,,,,,T,2022
2023,Y,23FTOCTYR,2023-10-26,1,4,1319,1319,,,2022-02-17,1,B,C,,Y,,,KY,UNCLE MO,UNCLE MO,SPANISH BUNNY,SPANISH BUNNY,UNUSUAL HEAT,UNUSUAL HEAT,,,,,,,GAINESWAY AGENT X,,,,NOT SOLD,,,,245000,,https://youtu.be/-2a-plZAejg,,,T,2022
