SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CONSLNAME,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2023,Y,23SARAUG,8/7/2023,1,1,17,17,,,,,5/13/2022,1,GRR,F,,Y,,,KY,PRACTICAL JOKE,PRACTICAL JOKE,CHOCOLATE POP,CHOCOLATE POP,CUVEE,FOUR STAR SALES AGENT,,,,,,,,,,,,MIKE RYAN AGENT,,,,350000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,18,18,,,,,3/9/2022,1,DKB,C,,Y,,,MD,MACLEAN'S MUSIC,MACLEAN'S MUSIC,CHOSEN VENTURE,CHOSEN VENTURE,PIONEEROF THE NILE,SCOTT MALLORY AGENT FOR DETERMINED STUD,,,,,,,,,,,,BARRY BERKELHAMMER AGT FOR HILLWOOD STABLE,,,,275000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,19,19,,,,,4/2/2022,1,B,F,,Y,,,KY,VOLATILE,VOLATILE,CLARENDON FANCY,CLARENDON FANCY,MALIBU MOON,WYNNSTAY SALES AGENT III,,,,,,,,,,,,OCALA STUD AGENT,,,,285000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,20,20,,,,,3/20/2022,1,CH,F,,Y,,,KY,NOT THIS TIME,NOT THIS TIME,CLASS INCLUDED,CLASS INCLUDED,INCLUDE,BUCK POND FARM (DOUGLAS S. ARNOLD) AGENT,,,,,,,,,,,,ORACLE BLOODSTOCK AGENT,,,,275000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,21,21,,,,,1/20/2022,1,B,C,,Y,,,KY,MCKINZIE,MCKINZIE,CLASSY ACT,CLASSY ACT,INTO MISCHIEF,INDIAN CREEK AGENT,,,,,,,,,,,,QUARTER POLE ENTERPRISES LLC,,,,225000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,22,22,,,,,3/21/2022,1,B,C,,Y,,,KY,MUNNINGS,MUNNINGS,COLORFUL SENSE,COLORFUL SENSE,STREET SENSE,TAYLOR MADE SALES AGENCY AGENT XCIV,,,,,,,,,,,,OUT,,,,0,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,23,23,,,,,3/14/2022,1,B,C,,Y,,,FA,QUALITY ROAD,QUALITY ROAD,COME A CALLIN,COME A CALLIN,DIXIE UNION,EATON SALES AGENT,,,,,,,,,,,,NOT SOLD,,,,675000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,24,24,,,,,3/1/2022,1,DKB,F,,Y,,,KY,OMAHA BEACH,OMAHA BEACH,COMPLICATED,COMPLICATED,BLAME,INDIAN CREEK AGENT,,,,,,,,,,,,LIVE OAK PLANTATION,,,,750000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,26,26,,,,,4/5/2022,1,DKB,F,,Y,,,ON,NOT THIS TIME,NOT THIS TIME,COUNT TO THREE,COUNT TO THREE,RED RANSOM,ST GEORGE SALES AGENT III,,,,,,,,,,,,TMC,,,,250000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,27,27,,,,,2/28/2022,1,DKB,F,,Y,,,KY,MIDNIGHT LUTE,MIDNIGHT LUTE,CUSTODY,CUSTODY,BROKEN VOW,HILL 'N' DALE AT XALAPA AGENT,,,,,,,,,,,,AMALFI BLOODSTOCK,,,,125000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,28,28,,,,,5/3/2022,1,B,F,,Y,,,KY,MEDAGLIA D'ORO,MEDAGLIA D'ORO,DAME MARIE,DAME MARIE,SMART STRIKE,BLUEWATER SALES LLC AGENT IV,,,,,,,,,,,,FERGUS GALVINAGT,,,,385000,,,,,T,2022
2023,Y,23SARAUG,8/7/2023,1,1,29,29,,,,,3/6/2022,1,B,F,,Y,,,KY,HARD SPUN,HARD SPUN,DANGEROUS DIVA,DANGEROUS DIVA,DEPUTY MINISTER,HUNTER VALLEY FARM AGENT,,,,,,,,,,,,KENNETH MCPEEK AGENT,,,,400000,,,,,T,2022
